Sample	pop6_hap	latitude	longitude
WBDC064	5	35.8	36.24
WBDC105	5	32.65	35.83
WBDC106	5	34.94	36.74
WBDC107	5	34.75	36.73
WBDC142	5	34.02	36.08
WBDC145	5	33.8	36.02
WBDC151	5	36.52	36.95
WBDC183	5	32.63	35.72
WBDC192	5	37.04	37.61
WBDC193	5	37.32	37.47
WBDC194	5	36.97	37.19
WBDC196	5	36.99	36.93
WBDC197	5	36.48	37.77
WBDC198	5	34.82	36.47
WBDC199	5	34.91	36.64
WBDC202	5	35.6	36.55
WBDC203	5	35.63	36.45
WBDC246	5	32.68	35.75
WBDC250	5	32.58	35.93
WBDC271	5	31.43	34.48
WBDC299	5	36.66	36.71
WBDC300	5	36.37	36.86
WBDC302	5	33.37	35.88
WBDC309	5	35.03	37.01
WBDC315	5	34.94	36.85
WBDC316	5	36.23	36.55
WBDC337	5	37.23	37.52
WBDC338	5	37.27	37.54
WBDC340	5	37.25	37.33
WBDC341	5	36.95	36.93
WBDC342	5	36.97	36.9
WBDC343	5	36.87	36.95
WBDC012	6	36.28	64.82
WBDC014	6	35.75	69
WBDC015	6	34.35	62.18
WBDC018	6	34.98	63.12
WBDC025	6	30.3	66.9
WBDC026	6	37.65	69.1
WBDC036	6	34.57	63
WBDC113	6	37.92	58.17
WBDC115	6	38.33	55.87
WBDC116	6	38.32	56.38
WBDC117	6	38.17	56.05
WBDC119	6	40.08	67.58
WBDC120	6	39.47	67.5
WBDC123	6	36.42	58.47
WBDC125	6	38.8	66.47
WBDC152	6	35.5	51.25
WBDC158	6	35.37	43.2
WBDC174	6	36.27	47.77
WBDC175	6	36.27	47.77
WBDC204	6	38.58	57.12
WBDC207	6	40.34	71.18
WBDC208	6	41.61	69.91
WBDC209	6	40.13	68.4
WBDC210	6	39.93	67.68
WBDC212	6	40.01	67.09
WBDC213	6	39.55	66.56
WBDC214	6	39.4	67.02
WBDC215	6	38.28	56.29
WBDC216	6	38.73	56.85
WBDC218	6	43.06	73.66
WBDC220	6	42.42	69.7
WBDC221	6	40.13	69.33
WBDC222	6	40.13	69.33
WBDC223	6	39.97	69
WBDC225	6	40.12	69.2
WBDC233	6	35.93	68.7
WBDC268	6	31.75	36.76
WBDC288	6	32.98	35.42
WBDC323	6	37.9	58.55
WBDC324	6	35.83	61.46
WBDC326	6	37.72	58.6
WBDC329	6	38.18	55.6
WBDC330	6	38.77	56.29
WBDC331	6	39.24	56.11
WBDC332	6	38.43	56.42
WBDC333	6	38.41	56.49
WBDC334	6	38.27	56.31
WBDC335	6	39.25	55.62
WBDC336	6	38.42	56.68
WBDC345	6	38.95	66.83
WBDC346	6	39.92	66.37
WBDC347	6	37.8	67
WBDC355	6	40.31	48.81
